"","pops","meanfst"
"227","tmb.usu",0.449739863349842
"228","tmb.waj",0.499924151215122
"229","tmb.wwf",0.18087327610261
"230","uho.waj",0.510681542529253
"231","usu.ave",0.518827936697454
"232","usu.cnt",0.646767272911506
"233","usu.dns",0.535810935796351
"234","usu.fut",0.507720861004731
"235","usu.hik",0.778510424960505
"236","usu.mng",0.42212815330932
"237","usu.nyc",0.514064224949336
"238","usu.ris",0.676071514195584
"239","usu.sou",0.43902942863575
"240","usu.uho",0.46548641625394
"241","usu.waj",0.507379234009009
"242","usu.wwf",0.450250419405673
"243","wwf.ave",0.289166109885161
"244","wwf.cnt",0.527914496736439
"245","wwf.dns",0.35497798153569
"246","wwf.fut",0.533798758612925
"247","wwf.hik",0.680138685611186
"248","wwf.mng",0.166111909540954
"249","wwf.nyc",0.137792609948233
"250","wwf.ris",0.48226009283461
"251","wwf.sou",0.21479154950495
"252","wwf.uho",0.00693622614761476
"253","wwf.waj",0.498471101260126
