"","pops","meanfst"
"1","aka.ave",0.503833821130885
"2","aka.cfj",0.469665005177848
"3","aka.cnt",0.620997070254447
"4","aka.dhd",0.562492905222873
"5","aka.dns",0.517863968010813
"6","aka.fdm",0.490206914562669
"7","aka.fut",0.386479787435262
"8","aka.hay",0.491387103153153
"9","aka.hik",0.757340865041751
"10","aka.lhp",0.493243779954955
"11","aka.mng",0.405456036470059
"12","aka.mngsou",0.363636980864475
"13","aka.nyc",0.489783560009007
"14","aka.osh",0.424370945520036
"15","aka.ris",0.65436489342046
"16","aka.shk",0.607749087612613
"17","aka.sou",0.401360865375957
"18","aka.tmb",0.428701187303017
"19","aka.uho",0.44836559140027
"20","aka.usu",0.388457657136425
"21","aka.waj",0.458247026789734
"22","aka.wwf",0.431350172895092
"23","ave.cnt",0.57851260990991
"24","ave.dns",0.321378959693763
"25","ave.fut",0.600129854664263
"26","ave.hik",0.733048605280975
"27","ave.mng",0.23557317923891
"28","ave.nyc",0.371116622972973
"29","ave.ris",0.552270094024803
"30","ave.sou",0.313271449223148
"31","ave.uho",0.307688168655708
"32","ave.waj",0.561710850258951
"33","cfj.ave",0.337065248367485
"34","cfj.cnt",0.566515405581814
"35","cfj.dhd",0.442981975922592
"36","cfj.dns",0.398323505967125
"37","cfj.fdm",0.317992246056782
"38","cfj.fut",0.570895590857915
"39","cfj.hay",0.575323070688879
"40","cfj.hik",0.711077086152458
"41","cfj.lhp",0.265875137100405
"42","cfj.mng",0.230066577857786
"43","cfj.mngsou",0.202193628712871
"44","cfj.nyc",0.229054390726986
"45","cfj.osh",0.112579132538254
"46","cfj.ris",0.534499498197386
"47","cfj.shk",0.648201765540541
"48","cfj.sou",0.267816534878488
"49","cfj.tmb",0.242921126012601
"50","cfj.uho",0.114941929792979
"51","cfj.usu",0.49139122760018
"52","cfj.waj",0.532996397839784
"53","cfj.wwf",0.0929177659765977
"54","cnt.dns",0.599598905405405
"55","cnt.fut",0.700345487387387
"56","cnt.hik",0.751412692689531
"57","cnt.mng",0.501357050191312
"58","cnt.nyc",0.581947779378658
"59","cnt.ris",0.725900675907144
"60","cnt.sou",0.51144306076975
"61","cnt.uho",0.538428765698852
"62","cnt.waj",0.643577112986721
"63","dhd.ave",0.383453102454402
"64","dhd.cnt",0.636851157776277
"65","dhd.dns",0.0969658315694663
"66","dhd.fdm",0.368503741208296
"67","dhd.fut",0.65816696307138
"68","dhd.hay",0.663556941679802
"69","dhd.hik",0.777384321605774
"70","dhd.lhp",0.482240467131923
"71","dhd.mng",0.361810025427543
"72","dhd.mngsou",0.338116122412241
"73","dhd.nyc",0.479585591042089
"74","dhd.osh",0.390313267551755
"75","dhd.ris",0.659409145335737
"76","dhd.shk",0.724175475997295
"77","dhd.sou",0.401338552430243
"78","dhd.tmb",0.38382796669667
"79","dhd.uho",0.413805908865887
"80","dhd.usu",0.582666845045045
"81","dhd.waj",0.618290446669667
"82","dhd.wwf",0.397491257425743
"83","dns.fut",0.612776495268139
"84","dns.hik",0.741863174001354
"85","dns.mng",0.31481009637469
"86","dns.nyc",0.435594131306306
"87","dns.ris",0.611115981736189
